date,stock_id,name,revenue_mon(bil),yoy(%)
2025-01-01,2884,玉山金,65.8,
2025-02-01,2884,,71.91,
2025-03-01,2884,,76.6,
2025-04-01,2884,,67.97,
2025-05-01,2884,,74.22,
2025-06-01,2884,,74.72,
2025-07-01,2884,,83.64,
2025-08-01,2884,,82.48,
2025-09-01,2884,,80.15,
2025-10-01,2884,,81.54,
2025-11-01,2884,,80.94,
2025-12-01,2884,,77.74,
2026-01-01,2884,玉山金,92.45634,40.51670734709882
