date,stock_id,revenue_mon(bil),yoy%,name
2024/1/1,2883,61.98,,凱基金
2024/2/1,2883,75.13,,
2024/3/1,2883,21.26,,
2024/4/1,2883,74.8,,
2024/5/1,2883,1.61,,
2024/6/1,2883,43.57,,
2024/7/1,2883,168,,
2024/8/1,2883,-22.59,,
2024/9/1,2883,100.4,,
2024/10/1,2883,44.6,,
2024/11/1,2883,70.43,,
2024/12/1,2883,100.6,,
2025/1/1,2883,68.24,,
2025/2/1,2883,96.4,,
2025/3/1,2883,108.5,,
2025/4/1,2883,14.87,,
2025/5/1,2883,-159.4,,
2025/6/1,2883,142.9,,
2025/7/1,2883,-126.4,,
2025/8/1,2883,86.12,,
2025/9/1,2883,142.6,,
2025/10/1,2883,111.1,,
2025/11/1,2883,106.8,,
2025/12/1,2883,58.65,-41.7,
