date,stock_id,name,revenue_mon(bil),yoy%
2026-01-01,2881,富邦金,238.80545,10.166198155773202
2025-01-01,2881,富邦金,216.8,
2025-02-01,2881,,381.3,
2025-03-01,2881,,311.1,
2025-04-01,2881,,-121.0,
2025-05-01,2881,,-151.8,
2025-06-01,2881,,309.7,
2025-07-01,2881,,316.1,
2025-08-01,2881,,573.9,
2025-09-01,2881,,356.5,
2025-10-01,2881,,483.9,
2025-11-01,2881,,529.7,
2025-12-01,2881,,426.5,
