date,stock_id,name,revenue_mon(bil),yoy%
2026-01-01,2891,中信金,258.56645,48.23016814554904
2025-01-01,2891,中信金,174.4,
2025-02-01,2891,,206.6,
2025-03-01,2891,,190.5,
2025-04-01,2891,,101.5,
2025-05-01,2891,,109.1,
2025-06-01,2891,,268.9,
2025-07-01,2891,,105.5,
2025-08-01,2891,,250.3,
2025-09-01,2891,,289.7,
2025-10-01,2891,,242.1,
2025-11-01,2891,,238.8,
2025-12-01,2891,,228.5,
