date,stock_id,name,revenue_mon(bil),yoy(%)
2025-01-01,2887,台新新光金,58.77,
2025-02-01,2887,,85.28,
2025-03-01,2887,,77.12,
2025-04-01,2887,,73.33,
2025-05-01,2887,,68.13,
2025-06-01,2887,,59.44,
2025-07-01,2887,,100.7,
2025-08-01,2887,,157.1,
2025-09-01,2887,,196.7,
2025-10-01,2887,,176.6,
2025-11-01,2887,,205.3,
2025-12-01,2887,,222.7,
2026-01-01,2887,台新新光金,187.7345,219.41895829345583
