year,stock_id,eps,cash_div,stock_div
2018,2883,0.54,0.3,0
2019,2883,0.88,0.6,0
2020,2883,0.87,0.55,0
2021,2883,2.34,1,0
2022,2883,0.98,0,0
2023,2883,1.13,0.501,0
2024,2883,1.97,0.85,0.1
