year,stock_id,lowest_pe,highest_pe,annual_yield_pct
2019,2883,11.06,18.22,3.12
2020,2883,10.55,17.16,6.8
2021,2883,6.01,10.47,4.26
2022,2883,6.69,12.86,6.62
2023,2883,11.08,21.14,0.0
2024,2883,8.73,10.97,3.31
2025,2883,7.27,12.67,5.81
