year,stock_id,lowest_pe,highest_pe,annual_yield_pct
2019,2330,15.43,26.09,3.06
2020,2330,16.37,26.61,3.04
2021,2330,25.34,33.32,2.16
2022,2330,10.47,29.08,1.99
2023,2330,11.47,18.34,2.08
2024,2330,17.78,29.82,1.89
2025,2330,15.39,24.76,1.67
