year,stock_id,eps,cash_div,stock_div
2018,2330,13.54,8.0,0.0
2019,2330,13.32,9.5,0.0
2020,2330,19.97,10.0,0.0
2021,2330,23.01,11.0,0.0
2022,2330,39.2,11.0,0.0
2023,2330,32.34,13.0,0.0
2024,2330,45.25,17.0,0.0
