year,stock_id,eps,cash_div,stock_div
2018,2308,7.0,5.0,0.0
2019,2308,8.9,5.0,0.0
2020,2308,9.81,5.5,0.0
2021,2308,10.32,5.5,0.0
2022,2308,12.58,9.84,0.0
2023,2308,12.86,6.43,0.0
2024,2308,13.56,7.0,0.0
