Date,stock_id,name,Yield(%),PE_Ratio,PB_Ratio
2026-02-25,2885,元大金,3.92,17.76,1.91
2026-02-26,2885,元大金,3.76,18.48,1.99
2026-03-02,2885,元大金,3.92,17.76,1.91
2026-03-03,2885,元大金,3.92,17.76,1.91
2026-03-04,2885,元大金,4.11,16.92,1.82
2026-03-05,2885,元大金,4.08,17.05,1.84
2026-03-06,2885,元大金,4.03,17.26,1.86
2026-03-09,2885,元大金,4.19,16.6,1.79
2026-03-10,2885,元大金,4.22,16.48,1.78
2026-03-11,2885,元大金,4.17,16.67,1.8
2026-03-12,2885,元大金,4.18,16.64,1.79
2026-03-13,2885,元大金,4.27,15.8,1.7
2026-03-16,2885,元大金,4.15,16.28,1.75
2026-03-17,2885,元大金,4.14,16.3,1.75
2026-03-18,2885,元大金,4.14,16.3,1.75
2026-03-19,2885,元大金,4.18,16.15,1.73
2026-03-20,2885,元大金,4.98,16.13,1.73
2026-03-23,2885,元大金,4.98,16.13,1.73
2026-03-24,2885,元大金,4.88,16.46,1.77
2026-03-25,2885,元大金,4.8,16.73,1.8
2026-03-26,2885,元大金,4.78,16.81,1.8
2026-03-27,2885,元大金,4.86,16.53,1.77
2026-03-30,2885,元大金,4.95,16.22,1.74
2026-03-31,2885,元大金,4.92,16.33,1.75
2026-04-01,2885,元大金,4.67,17.19,1.84
2026-04-02,2885,元大金,4.8,16.73,1.8
2026-04-07,2885,元大金,4.73,16.97,1.82
2026-04-08,2885,元大金,4.67,17.19,1.84
2026-04-09,2885,元大金,4.59,17.5,1.88
2026-04-10,2885,元大金,4.61,17.41,1.87
2026-04-13,2885,元大金,4.64,17.32,1.86
2026-04-14,2885,元大金,4.44,18.08,1.94
2026-04-15,2885,元大金,4.37,18.39,1.97
2026-04-16,2885,元大金,4.34,18.5,1.99
2026-04-17,2885,元大金,4.38,18.32,1.97
2026-04-20,2885,元大金,4.3,18.69,2.0
2026-04-21,2885,元大金,4.31,18.61,2.0
2026-04-22,2885,元大金,4.39,18.28,1.96
2026-04-23,2885,元大金,4.38,18.32,1.97
2026-04-24,2885,元大金,4.4,18.23,1.96
2026-04-27,2885,元大金,4.33,18.54,1.99
2026-04-28,2885,元大金,4.21,19.05,2.04
2026-04-29,2885,元大金,4.21,19.09,2.05
2026-04-30,2885,元大金,4.21,19.05,2.04
2026-05-04,2885,元大金,4.14,19.38,2.08
2026-05-06,2885,元大金,3.97,20.22,2.17
2026-05-07,2885,元大金,3.92,20.47,2.2
2026-05-08,2885,元大金,3.89,20.62,2.21
2026-05-11,2885,元大金,3.89,20.62,2.21
2026-05-12,2885,元大金,4.03,19.93,2.14
2026-05-13,2885,元大金,3.94,20.36,2.18
2026-05-14,2885,元大金,3.96,20.26,2.17
2026-05-15,2885,元大金,4.01,20.0,2.15
2026-05-18,2885,元大金,4.05,19.82,2.13
2026-05-19,2885,元大金,4.02,19.96,2.14
2026-05-20,2885,元大金,3.99,20.11,2.16
2026-05-21,2885,元大金,4.02,19.96,2.14
2026-05-22,2885,元大金,3.99,16.95,2.05
2026-05-25,2885,元大金,3.92,17.26,2.08
2026-05-27,2885,元大金,3.7,18.31,2.21
2026-05-28,2885,元大金,3.72,18.18,2.2
2026-05-29,2885,元大金,3.69,18.34,2.21
2026-06-01,2885,元大金,3.72,18.22,2.2
2026-06-02,2885,元大金,3.69,18.34,2.21
2026-06-03,2885,元大金,3.45,19.6,2.37
2026-06-04,2885,元大金,3.44,19.66,2.37
2026-06-05,2885,元大金,3.37,20.09,2.43
