year,stock_id,lowest_pe,highest_pe,annual_yield_pct
2019,2887,10.15,12.5,
2020,2887,8.96,13.48,
2021,2887,8.77,11.63,
2022,2887,11.11,16.69,
2023,2887,10.64,17.92,
2024,2887,12.22,17.86,
2025,2887,10.21,14.29,
