year,stock_id,eps,cash_div,stock_div
2018,2887,1.09,0.508,0.208
2019,2887,1.19,0.566,0.231
2020,2887,1.17,0.555,0.454
2021,2887,1.63,0.605,0.495
2022,2887,1.09,0.51,0.42
2023,2887,1.01,0.6,0.4
2024,2887,1.39,0.9,0
