date,stock_id,name,revenue_mon(bil),yoy(%),revenue_ytd(bil),ytd_yoy(%)
2026-01-01,2887,台新新光金,187.7345,219.41895829345583,187.7345,219.41895829345583
2026-02-01,2887,台新新光金,162.83678,187.3730540961706,350.57128,203.6888571449609
2026-03-01,2887,台新新光金,129.37979,1118.7543214132977,479.95107,280.75221142406406
2026-04-01,2887,台新新光金,172.21187,16.088407160448803,652.16294,137.66971463873534
2026-05-01,2887,台新新光金,148.43474,317.18131813619806,800.59768,335.3574814056247
2026-06-01,2887,台新新光金,177.3669,329.50067645662165,977.96458,334.2834434453442
