date,stock_id,name,revenue_mon(bil),yoy(%),revenue_ytd(bil),ytd_yoy(%)
2026-01-01,2882,國泰金,260.02151,1.3757579696489717,260.02151,1.3757579696489717
2026-02-01,2882,國泰金,261.23903,-11.034376670623208,521.26054,-5.248305224111084
2026-03-01,2882,國泰金,198.9763,199.9478049576098,720.23684,105.16470162625016
2026-04-01,2882,國泰金,305.1522,153.9148431130897,1025.38904,577.0666572623264
2026-05-01,2882,國泰金,250.59074,130.63810203221996,1275.97978,223.540679705256
2026-06-01,2882,國泰金,323.06426,-42.044705643064496,1599.04404,436.3542200816744
