Date,stock_id,name,price
2026-02-25,2882,國泰金,76.9
2026-02-26,2882,國泰金,79.7
2026-03-02,2882,國泰金,77.9
2026-03-03,2882,國泰金,77.6
2026-03-04,2882,國泰金,73.2
2026-03-05,2882,國泰金,73.6
2026-03-06,2882,國泰金,73.0
2026-03-09,2882,國泰金,70.0
2026-03-10,2882,國泰金,71.1
2026-03-11,2882,國泰金,71.8
2026-03-12,2882,國泰金,72.5
2026-03-13,2882,國泰金,71.7
2026-03-16,2882,國泰金,72.4
2026-03-17,2882,國泰金,73.2
2026-03-18,2882,國泰金,73.4
2026-03-19,2882,國泰金,71.6
2026-03-20,2882,國泰金,72.0
2026-03-23,2882,國泰金,71.7
2026-03-24,2882,國泰金,70.8
2026-03-25,2882,國泰金,71.4
2026-03-26,2882,國泰金,70.8
2026-03-27,2882,國泰金,70.6
2026-03-30,2882,國泰金,70.4
2026-03-31,2882,國泰金,70.3
2026-04-01,2882,國泰金,71.9
2026-04-02,2882,國泰金,71.8
2026-04-07,2882,國泰金,71.9
2026-04-08,2882,國泰金,73.8
2026-04-09,2882,國泰金,73.6
2026-04-10,2882,國泰金,72.9
2026-04-13,2882,國泰金,72.0
2026-04-14,2882,國泰金,72.7
2026-04-15,2882,國泰金,72.9
2026-04-16,2882,國泰金,74.2
2026-04-17,2882,國泰金,75.0
2026-04-20,2882,國泰金,74.6
2026-04-21,2882,國泰金,75.5
2026-04-22,2882,國泰金,75.9
2026-04-23,2882,國泰金,74.8
2026-04-24,2882,國泰金,74.9
2026-04-27,2882,國泰金,74.5
2026-04-28,2882,國泰金,74.7
2026-04-29,2882,國泰金,78.6
2026-04-30,2882,國泰金,77.2
2026-05-04,2882,國泰金,76.2
2026-05-06,2882,國泰金,77.2
2026-05-07,2882,國泰金,79.0
2026-05-08,2882,國泰金,80.0
2026-05-11,2882,國泰金,78.4
2026-05-12,2882,國泰金,76.4
2026-05-13,2882,國泰金,77.3
2026-05-14,2882,國泰金,76.7
2026-05-15,2882,國泰金,77.9
2026-05-18,2882,國泰金,76.8
2026-05-19,2882,國泰金,77.8
2026-05-20,2882,國泰金,77.9
2026-05-21,2882,國泰金,78.7
2026-05-22,2882,國泰金,79.7
2026-05-25,2882,國泰金,81.5
2026-05-27,2882,國泰金,85.4
2026-05-28,2882,國泰金,84.8
2026-05-29,2882,國泰金,85.7
2026-06-01,2882,國泰金,88.2
2026-06-02,2882,國泰金,89.2
2026-06-03,2882,國泰金,91.8
2026-06-04,2882,國泰金,94.4
2026-06-05,2882,國泰金,100.0
2026-06-08,2882,國泰金,95.0
2026-06-09,2882,國泰金,104.0
2026-06-10,2882,國泰金,99.9
2026-06-11,2882,國泰金,100.5
2026-06-12,2882,國泰金,100.5
2026-06-15,2882,國泰金,104.0
2026-06-16,2882,國泰金,109.5
2026-06-17,2882,國泰金,113.5
