year,stock_id,eps,cash_div,stock_div
2018,2892,1.4,1.0,0.1
2019,2892,1.55,1.05,0.3
2020,2892,1.31,0.9,0.1
2021,2892,1.52,1.0,0.2
2022,2892,1.56,0.8,0.3
2023,2892,1.65,0.85,0.3
2024,2892,1.81,0.95,0.25
