year,stock_id,lowest_pe,highest_pe,annual_yield_pct
2019,2892,14.14,16.27,
2020,2892,11.92,17.25,
2021,2892,16.12,50.91,
2022,2892,15.87,19.74,
2023,2892,15.18,17.22,
2024,2892,14.87,17.73,
2025,2892,13.49,17.08,
