year,stock_id,lowest_pe,highest_pe,lowest_yield_pct,highest_yield_pct
2019,2890,11.71,13.21,,
2020,2890,9.61,12.67,,
2021,2890,9.51,11.29,,
2022,2890,10.9,13.37,,
2023,2890,11.11,12.77,,
2024,2890,11.24,15.47,,
2025,2890,10.73,14.95,,
