year,stock_id,eps,cash_div,stock_div
2018,2890,0.84,0.636,0.0
2019,2890,1.11,0.7,0.0
2020,2890,1.09,0.7,0.0
2021,2890,1.44,0.8,0.1
2022,2890,1.4,0.6,0.2
2023,2890,1.62,0.75,0.25
2024,2890,1.75,0.91,0.34
