year,stock_id,eps,cash_div,stock_div
2018,2885,1.59,0.9,0
2019,2885,1.75,0.65,0.4
2020,2885,1.99,1.2,0
2021,2885,2.87,1.5,0.3
2022,2885,1.72,0.8,0.15
2023,2885,2.09,1.1,0.2
2024,2885,2.77,1.55,0.3
