year,stock_id,lowest_pe,highest_pe,annual_yield_pct
2019,2885,9.49,11.99,4.96
2020,2885,8.5,12.03,5.77
2021,2885,8.43,10.74,4.97
2022,2885,8.79,12.68,7.95
2023,2885,11.54,13.52,3.96
2024,2885,11.97,15.28,4.16
2025,2885,10.36,14.84,5.43
