year,stock_id,eps,cash_div,stock_div
2018,2891,1.85,1.0,0.0
2019,2891,2.16,1.0,0.0
2020,2891,2.15,1.05,0.0
2021,2891,2.73,1.25,0.0
2022,2891,1.55,1.0,0.0
2023,2891,2.82,1.8,0.0
2024,2891,3.64,2.3,0.0
