year,stock_id,lowest_pe,highest_pe,annual_yield_pct
2019,2891,9.51,12.53,
2020,2891,7.24,10.65,
2021,2891,7.64,9.57,
2022,2891,9.44,14.26,
2023,2891,9.46,15.57,
2024,2891,9.29,12.53,
2025,2891,9.5,12.57,
