Date,stock_id,name,Yield(%),PE_Ratio,PB_Ratio
2026-02-25,2891,中信金,4.3,14.54,2.19
2026-02-26,2891,中信金,4.11,15.19,2.29
2026-03-02,2891,中信金,4.28,14.62,2.2
2026-03-03,2891,中信金,4.3,14.54,2.19
2026-03-04,2891,中信金,4.55,13.72,2.07
2026-03-05,2891,中信金,4.47,13.99,2.11
2026-03-06,2891,中信金,4.47,13.97,2.11
2026-03-09,2891,中信金,4.51,13.86,2.09
2026-03-10,2891,中信金,4.49,13.91,2.1
2026-03-11,2891,中信金,4.49,13.91,2.1
2026-03-12,2891,中信金,4.48,13.94,2.1
2026-03-13,2891,中信金,4.48,13.94,2.1
2026-03-16,2891,中信金,4.43,12.98,2.02
2026-03-17,2891,中信金,4.35,13.23,2.06
2026-03-18,2891,中信金,4.32,13.33,2.07
2026-03-19,2891,中信金,4.46,12.9,2.01
2026-03-20,2891,中信金,4.41,13.03,2.03
2026-03-23,2891,中信金,4.47,12.88,2.0
2026-03-24,2891,中信金,4.42,13.0,2.02
2026-03-25,2891,中信金,4.36,13.2,2.06
2026-03-26,2891,中信金,4.34,13.25,2.06
2026-03-27,2891,中信金,4.34,13.25,2.06
2026-03-30,2891,中信金,4.43,12.98,2.02
2026-03-31,2891,中信金,4.48,12.83,2.0
2026-04-01,2891,中信金,4.28,13.43,2.09
2026-04-02,2891,中信金,4.22,13.63,2.12
2026-04-07,2891,中信金,4.12,13.95,2.17
2026-04-08,2891,中信金,4.07,14.13,2.2
2026-04-09,2891,中信金,4.2,13.7,2.13
2026-04-10,2891,中信金,4.26,13.5,2.1
2026-04-13,2891,中信金,4.32,13.33,2.07
2026-04-14,2891,中信金,4.33,13.28,2.07
2026-04-15,2891,中信金,4.36,13.2,2.06
2026-04-16,2891,中信金,4.31,13.35,2.08
2026-04-17,2891,中信金,4.33,13.28,2.07
2026-04-20,2891,中信金,4.33,13.28,2.07
2026-04-21,2891,中信金,4.34,13.25,2.06
2026-04-22,2891,中信金,4.3,13.38,2.08
2026-04-23,2891,中信金,4.36,13.18,2.05
2026-04-24,2891,中信金,4.35,13.23,2.06
2026-04-27,2891,中信金,4.36,13.18,2.05
2026-04-28,2891,中信金,4.32,13.33,2.07
2026-04-29,2891,中信金,4.71,13.28,2.07
2026-04-30,2891,中信金,4.78,13.08,2.04
2026-05-04,2891,中信金,4.73,13.23,2.06
2026-05-06,2891,中信金,4.67,13.38,2.08
