year,stock_id,eps,cash_div,stock_div
2018,2882,3.95,1.5,0
2019,2882,4.76,2,0
2020,2882,5.41,2.5,0
2021,2882,10.34,3.5,0
2022,2882,2.58,0.9,0
2023,2882,3.24,2,0
2024,2882,7.29,3.5,0
