year,stock_id,lowest_pe,highest_pe,annual_yield_pct
2019,2882,8.94,13.84,
2020,2882,6.26,9.0,
2021,2882,5.24,7.7,
2022,2882,5.97,15.5,
2023,2882,13.95,59.71,
2024,2882,8.37,13.86,
2025,2882,7.33,15.35,
