Date,stock_id,name,Yield(%),PE_Ratio,PB_Ratio
2026-04-14,2308,台達電,0.66,75.63,16.96
2026-04-15,2308,台達電,0.65,77.14,17.3
2026-04-16,2308,台達電,0.63,79.73,17.88
2026-04-17,2308,台達電,0.63,79.52,17.83
2026-04-20,2308,台達電,0.61,82.11,18.41
2026-04-21,2308,台達電,0.58,87.08,19.53
2026-04-22,2308,台達電,0.58,87.08,19.53
2026-04-23,2308,台達電,0.59,85.57,19.19
2026-04-24,2308,台達電,0.56,89.67,20.11
2026-04-27,2308,台達電,0.57,87.29,19.57
2026-04-28,2308,台達電,0.55,91.83,20.59
2026-04-29,2308,台達電,0.54,93.56,20.98
2026-04-30,2308,台達電,0.54,79.83,18.77
2026-05-04,2308,台達電,0.52,81.86,19.25
2026-05-06,2308,台達電,0.54,79.83,18.77
2026-05-07,2308,台達電,0.51,84.07,19.77
2026-05-08,2308,台達電,0.53,81.12,19.08
2026-05-11,2308,台達電,0.52,82.78,19.47
2026-05-12,2308,台達電,0.53,80.94,19.03
2026-05-13,2308,台達電,0.54,79.83,18.77
