date,stock_id,name,revenue_mon(bil),yoy(%),revenue_ytd(bil),ytd_yoy(%)
2026-01-01,2308,台達電,496.8,32.9,496.8,32.9
2026-02-01,2308,台達電,499.0,31.0,995.7,31.9
2026-03-01,2308,台達電,597.79988,37.60240626098901,1593.52652,34.00054487322279
2026-04-01,2308,台達電,586.91652,43.91500166592435,2180.44304,36.532348429636606
2026-05-01,2308,台達電,589.61817,43.65246228958888,2770.06121,37.98813294405533
2026-06-01,2308,台達電,656.02611,55.42638489110967,3426.08732,41.01765691988111
2026-07-01,2308,台達電,670.73192,47.74794778461097,4096.81924,42.07724994557858
