year,stock_id,eps,cash_div,stock_div
2018,2884,1.58,0.71,0.711
2019,2884,1.73,0.791,0.797
2020,2884,1.43,0.61,0.611
2021,2884,1.54,0.67,0.674
2022,2884,1.1,0.189,0.379
2023,2884,1.41,1.2,0.2
2024,2884,1.63,1.2,0.1
