year,stock_id,lowest_pe,highest_pe,annual_yield_pct
2019,2881,8.41,10.94,
2020,2881,5.32,8.49,
2021,2881,4.72,6.22,
2022,2881,5.34,15.9,
2023,2881,13.5,48.29,
2024,2881,8.38,13.38,
2025,2881,6.39,11.74,
