Date,stock_id,name,Yield(%),PE_Ratio,PB_Ratio
2026-02-25,2884,玉山金,3.72,18.02,2.17
2026-02-26,2884,玉山金,3.7,18.09,2.18
2026-03-02,2884,玉山金,3.72,17.99,2.17
2026-03-03,2884,玉山金,3.72,17.99,2.17
2026-03-04,2884,玉山金,3.86,17.35,2.09
2026-03-05,2884,玉山金,3.82,17.55,2.12
2026-03-06,2884,玉山金,3.82,17.53,2.11
2026-03-09,2884,玉山金,3.9,17.19,2.07
2026-03-10,2884,玉山金,3.89,17.22,2.08
2026-03-11,2884,玉山金,3.9,17.16,2.07
2026-03-12,2884,玉山金,3.93,17.04,2.05
2026-03-13,2884,玉山金,3.93,17.04,2.05
2026-03-16,2884,玉山金,4.04,15.19,1.91
2026-03-17,2884,玉山金,4.03,15.21,1.91
2026-03-18,2884,玉山金,4.03,15.21,1.91
2026-03-19,2884,玉山金,4.1,14.95,1.88
2026-03-20,2884,玉山金,4.4,15.0,1.89
2026-03-23,2884,玉山金,4.49,14.69,1.85
2026-03-24,2884,玉山金,4.44,14.88,1.87
2026-03-25,2884,玉山金,4.36,15.14,1.9
2026-03-26,2884,玉山金,4.33,15.26,1.92
2026-03-27,2884,玉山金,4.35,15.19,1.91
2026-03-30,2884,玉山金,4.38,15.09,1.9
2026-03-31,2884,玉山金,4.41,14.98,1.88
2026-04-01,2884,玉山金,4.33,15.24,1.92
2026-04-02,2884,玉山金,4.35,15.17,1.91
2026-04-07,2884,玉山金,4.32,15.28,1.92
2026-04-08,2884,玉山金,4.31,15.31,1.92
2026-04-09,2884,玉山金,4.29,15.38,1.93
2026-04-10,2884,玉山金,4.34,15.21,1.91
2026-04-13,2884,玉山金,4.37,15.12,1.9
2026-04-14,2884,玉山金,4.28,15.42,1.94
2026-04-15,2884,玉山金,4.25,15.54,1.95
2026-04-16,2884,玉山金,4.24,15.57,1.96
2026-04-17,2884,玉山金,4.27,15.45,1.94
2026-04-20,2884,玉山金,4.26,15.5,1.95
2026-04-21,2884,玉山金,4.25,15.54,1.95
2026-04-22,2884,玉山金,4.24,15.59,1.96
2026-04-23,2884,玉山金,4.31,15.31,1.92
2026-04-24,2884,玉山金,4.3,15.35,1.93
2026-04-27,2884,玉山金,4.3,15.35,1.93
2026-04-28,2884,玉山金,4.31,15.31,1.92
2026-04-29,2884,玉山金,4.32,15.28,1.92
2026-04-30,2884,玉山金,4.4,15.02,1.89
2026-05-04,2884,玉山金,4.47,14.76,1.86
2026-05-06,2884,玉山金,4.44,14.88,1.87
2026-05-07,2884,玉山金,4.36,15.14,1.9
2026-05-08,2884,玉山金,4.31,15.33,1.93
2026-05-11,2884,玉山金,4.33,15.24,1.92
2026-05-12,2884,玉山金,4.4,15.0,1.89
